,Word,Freq,word_rank,Prob. Per cent,Prob
86,ouvi,74,87.5,0.14721387789205642,0.0014721387789205641
87,sorry,74,87.5,0.14721387789205642,0.0014721387789205641
88,to,73,89.0,0.14522450116378538,0.0014522450116378539
89,u,72,91.0,0.14323512443551434,0.0014323512443551434
90,exoonearewe,72,91.0,0.14323512443551434,0.0014323512443551434
91,fan,72,91.0,0.14323512443551434,0.0014323512443551434
92,tracks,69,93.0,0.13726699425070124,0.0013726699425070125
93,noise,68,95.5,0.13527761752243023,0.0013527761752243023
94,bigil,68,95.5,0.13527761752243023,0.0013527761752243023
95,verithanam,68,95.5,0.13527761752243023,0.0013527761752243023
96,tamil,68,95.5,0.13527761752243023,0.0013527761752243023
97,nights,67,101.0,0.13328824079415919,0.0013328824079415918
98,rub,67,101.0,0.13328824079415919,0.0013328824079415918
99,foul,67,101.0,0.13328824079415919,0.0013328824079415918
100,jfc,67,101.0,0.13328824079415919,0.0013328824079415918
101,hotel,67,101.0,0.13328824079415919,0.0013328824079415918
102,slept,67,101.0,0.13328824079415919,0.0013328824079415918
103,snoring,67,101.0,0.13328824079415919,0.0013328824079415918
104,way,66,105.0,0.13129886406588817,0.0013129886406588816
105,imagem,65,106.5,0.1293094873376171,0.0012930948733761711
106,group,65,106.5,0.1293094873376171,0.0012930948733761711
107,really,64,108.0,0.1273201106093461,0.001273201106093461
108,every,62,110.0,0.12334135715280402,0.0012334135715280402
109,people,62,110.0,0.12334135715280402,0.0012334135715280402
110,much,62,110.0,0.12334135715280402,0.0012334135715280402
111,más,61,112.5,0.121351980424533,0.00121351980424533
112,see,61,112.5,0.121351980424533,0.00121351980424533
113,days,60,115.0,0.11936260369626195,0.0011936260369626195
114,música,60,115.0,0.11936260369626195,0.0011936260369626195
115,wow,60,115.0,0.11936260369626195,0.0011936260369626195
116,streaming,59,118.5,0.11737322696799093,0.0011737322696799093
117,someone,59,118.5,0.11737322696799093,0.0011737322696799093
118,gracias,59,118.5,0.11737322696799093,0.0011737322696799093
119,im,59,118.5,0.11737322696799093,0.0011737322696799093
120,life,58,121.0,0.1153838502397199,0.001153838502397199
121,spotifyindia,57,123.5,0.11339447351144886,0.0011339447351144886
122,ready,57,123.5,0.11339447351144886,0.0011339447351144886
123,so,57,123.5,0.11339447351144886,0.0011339447351144886
124,warnet,57,123.5,0.11339447351144886,0.0011339447351144886
125,plays,56,126.0,0.11140509678317784,0.0011140509678317784
126,del,55,127.5,0.1094157200549068,0.001094157200549068
127,album,55,127.5,0.1094157200549068,0.001094157200549068
128,enjoy,54,131.5,0.10742634332663577,0.0010742634332663577
129,archanakalpathi,54,131.5,0.10742634332663577,0.0010742634332663577
130,most,54,131.5,0.10742634332663577,0.0010742634332663577
131,actorvijay,54,131.5,0.10742634332663577,0.0010742634332663577
132,genres,54,131.5,0.10742634332663577,0.0010742634332663577
133,arrahman,54,131.5,0.10742634332663577,0.0010742634332663577
134,going,53,136.0,0.10543696659836473,0.0010543696659836472
135,ariana,53,136.0,0.10543696659836473,0.0010543696659836472
136,your,53,136.0,0.10543696659836473,0.0010543696659836472
137,many,52,138.5,0.1034475898700937,0.001034475898700937
138,resumen,52,138.5,0.1034475898700937,0.001034475898700937
139,década,51,140.0,0.10145821314182267,0.0010145821314182268
140,un,50,144.0,0.09946883641355163,0.0009946883641355163
141,everyones,50,144.0,0.09946883641355163,0.0009946883641355163
142,interested,50,144.0,0.09946883641355163,0.0009946883641355163
143,reach,50,144.0,0.09946883641355163,0.0009946883641355163
144,discover,50,144.0,0.09946883641355163,0.0009946883641355163
145,rt,50,144.0,0.09946883641355163,0.0009946883641355163
146,protagonist,50,144.0,0.09946883641355163,0.0009946883641355163
147,podcast,49,149.0,0.0974794596852806,0.000974794596852806
148,wrap,49,149.0,0.0974794596852806,0.000974794596852806
149,story,49,149.0,0.0974794596852806,0.000974794596852806
150,horas,48,154.0,0.09549008295700957,0.0009549008295700957
151,ne,48,154.0,0.09549008295700957,0.0009549008295700957
152,ver,48,154.0,0.09549008295700957,0.0009549008295700957
153,las,48,154.0,0.09549008295700957,0.0009549008295700957
154,still,48,154.0,0.09549008295700957,0.0009549008295700957
155,please,48,154.0,0.09549008295700957,0.0009549008295700957
156,x,48,154.0,0.09549008295700957,0.0009549008295700957
157,yeah,47,159.5,0.09350070622873854,0.0009350070622873854
158,pra,47,159.5,0.09350070622873854,0.0009350070622873854
159,info,47,159.5,0.09350070622873854,0.0009350070622873854
160,youtube,47,159.5,0.09350070622873854,0.0009350070622873854
161,global,46,164.0,0.0915113295004675,0.000915113295004675
162,fun,46,164.0,0.0915113295004675,0.000915113295004675
163,back,46,164.0,0.0915113295004675,0.000915113295004675
164,follow,46,164.0,0.0915113295004675,0.000915113295004675
165,night,46,164.0,0.0915113295004675,0.000915113295004675
166,itunes,45,167.5,0.08952195277219648,0.0008952195277219647
167,need,45,167.5,0.08952195277219648,0.0008952195277219647
168,post,44,170.0,0.08753257604392543,0.0008753257604392544
169,sleep,44,170.0,0.08753257604392543,0.0008753257604392544
170,we,44,170.0,0.08753257604392543,0.0008753257604392544
171,pop,43,173.0,0.0855431993156544,0.000855431993156544
172,what,43,173.0,0.0855431993156544,0.000855431993156544
173,artistas,43,173.0,0.0855431993156544,0.000855431993156544
174,time,42,175.0,0.08355382258738338,0.0008355382258738338
175,baby,41,176.5,0.08156444585911235,0.0008156444585911234
176,a,41,176.5,0.08156444585911235,0.0008156444585911234
177,taste,40,179.5,0.07957506913084131,0.0007957506913084131
178,make,40,179.5,0.07957506913084131,0.0007957506913084131
