type,year,gender,paper_key,pos,name,global_key_x,conf_key,link_x,title_x,pages,citations,l0,l1,l2,global_key_y,publisher,title_y,link_y,cs,de,se,th
se,2012,F,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256
se,2012,M,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134
se,2013,-,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72
se,2013,F,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319
se,2013,M,1284,1284,1284,1284,1284,1284,1284,1284,1284,1284,1284,1284,1284,1284,1284,1284,1284,1284,1284,1284
se,2014,-,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
se,2014,F,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316
se,2014,M,1351,1351,1351,1351,1351,1351,1351,1351,1351,1351,1351,1351,1351,1351,1351,1351,1351,1351,1351,1351
se,2015,-,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56
se,2015,F,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340
se,2015,M,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358
se,2016,-,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73
se,2016,F,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246
se,2016,M,920,920,920,920,920,920,920,920,920,920,920,920,920,920,920,920,920,920,920,920
th,2000,-,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93
th,2000,F,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
th,2000,M,1559,1559,1559,1559,1559,1559,1559,1559,1559,1559,1559,1559,1559,1559,1559,1559,1559,1559,1559,1559
th,2001,-,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83
th,2001,F,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248
th,2001,M,1607,1607,1607,1607,1607,1607,1607,1607,1607,1607,1607,1607,1607,1607,1607,1607,1607,1607,1607,1607
th,2002,-,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92
th,2002,F,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
th,2002,M,1717,1717,1717,1717,1717,1717,1717,1717,1717,1717,1717,1717,1717,1717,1717,1717,1717,1717,1717,1717
th,2003,-,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122
th,2003,F,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279
th,2003,M,1789,1789,1789,1789,1789,1789,1789,1789,1789,1789,1789,1789,1789,1789,1789,1789,1789,1789,1789,1789
th,2004,-,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135
th,2004,F,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381
th,2004,M,2296,2296,2296,2296,2296,2296,2296,2296,2296,2296,2296,2296,2296,2296,2296,2296,2296,2296,2296,2296
th,2005,-,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178
th,2005,F,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403
th,2005,M,2340,2340,2340,2340,2340,2340,2340,2340,2340,2340,2340,2340,2340,2340,2340,2340,2340,2340,2340,2340
th,2006,-,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135
th,2006,F,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419
th,2006,M,2307,2307,2307,2307,2307,2307,2307,2307,2307,2307,2307,2307,2307,2307,2307,2307,2307,2307,2307,2307
th,2007,-,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161
th,2007,F,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395
th,2007,M,2542,2542,2542,2542,2542,2542,2542,2542,2542,2542,2542,2542,2542,2542,2542,2542,2542,2542,2542,2542
th,2008,-,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149
th,2008,F,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404
th,2008,M,2585,2585,2585,2585,2585,2585,2585,2585,2585,2585,2585,2585,2585,2585,2585,2585,2585,2585,2585,2585
th,2009,-,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153
th,2009,F,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401
th,2009,M,2494,2494,2494,2494,2494,2494,2494,2494,2494,2494,2494,2494,2494,2494,2494,2494,2494,2494,2494,2494
th,2010,-,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141
th,2010,F,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466
th,2010,M,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720
th,2011,-,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154
th,2011,F,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436
th,2011,M,2363,2363,2363,2363,2363,2363,2363,2363,2363,2363,2363,2363,2363,2363,2363,2363,2363,2363,2363,2363
th,2012,-,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146
th,2012,F,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424
th,2012,M,2635,2635,2635,2635,2635,2635,2635,2635,2635,2635,2635,2635,2635,2635,2635,2635,2635,2635,2635,2635
th,2013,-,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152
th,2013,F,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445
th,2013,M,2784,2784,2784,2784,2784,2784,2784,2784,2784,2784,2784,2784,2784,2784,2784,2784,2784,2784,2784,2784
th,2014,-,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145
th,2014,F,522,522,522,522,522,522,522,522,522,522,522,522,522,522,522,522,522,522,522,522
th,2014,M,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885,2885
th,2015,-,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149
th,2015,F,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528
th,2015,M,2925,2925,2925,2925,2925,2925,2925,2925,2925,2925,2925,2925,2925,2925,2925,2925,2925,2925,2925,2925
th,2016,-,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132
th,2016,F,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509
th,2016,M,2866,2866,2866,2866,2866,2866,2866,2866,2866,2866,2866,2866,2866,2866,2866,2866,2866,2866,2866,2866
