year,publisher,paper_key,pos,name,global_key_x,conf_key,link_x,title_x,pages,citations,l0,l1,l2,gender,global_key_y,title_y,link_y,cs,de,se,th,type
2008,"Schloss Dagstuhl - Leibniz-Zentrum fuer Informatik, Germany",139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139
2008,Springer,3022,3022,3022,3022,3022,3022,3022,3022,3022,3022,3022,3022,3022,3022,3022,3022,3022,3022,3022,3022,3022
2008,Tampere University of Technology. Pori. Publication,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
2008,The Association for Computer Linguistics,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559
2008,USENIX Association,487,487,487,487,487,487,487,487,487,487,487,487,487,487,487,487,487,487,487,487,487
2008,University of Magdeburg,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
2009,ACM,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616,9616
2009,CEUR-WS.org,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
2009,IEEE,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875
2009,IEEE Computer Society,5450,5450,5450,5450,5450,5450,5450,5450,5450,5450,5450,5450,5450,5450,5450,5450,5450,5450,5450,5450,5450
2009,SIAM,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366
2009,Schloss Dagstuhl - Leibniz-Zentrum fuer Informatik,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115
2009,"Schloss Dagstuhl - Leibniz-Zentrum fuer Informatik, Germany",147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147
2009,Springer,3099,3099,3099,3099,3099,3099,3099,3099,3099,3099,3099,3099,3099,3099,3099,3099,3099,3099,3099,3099,3099
2009,The Association for Computer Linguistics,711,711,711,711,711,711,711,711,711,711,711,711,711,711,711,711,711,711,711,711,711
2009,USENIX Association,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161
2009,VLDB Endowment,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
2009,\N,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038
2010,AAAI,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337
2010,AAAI Press,916,916,916,916,916,916,916,916,916,916,916,916,916,916,916,916,916,916,916,916,916
2010,ACM,10437,10437,10437,10437,10437,10437,10437,10437,10437,10437,10437,10437,10437,10437,10437,10437,10437,10437,10437,10437,10437
2010,CEUR-WS.org,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168
2010,IEEE,1277,1277,1277,1277,1277,1277,1277,1277,1277,1277,1277,1277,1277,1277,1277,1277,1277,1277,1277,1277,1277
2010,IEEE Computer Society,4314,4314,4314,4314,4314,4314,4314,4314,4314,4314,4314,4314,4314,4314,4314,4314,4314,4314,4314,4314,4314
2010,Omnipress,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538
2010,SIAM,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354
2010,Schloss Dagstuhl - Leibniz-Zentrum fuer Informatik,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270
2010,Springer,3521,3521,3521,3521,3521,3521,3521,3521,3521,3521,3521,3521,3521,3521,3521,3521,3521,3521,3521,3521,3521
2010,The Association for Computer Linguistics,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696
2010,USENIX Association,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388
2010,\N,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
2011,AAAI,489,489,489,489,489,489,489,489,489,489,489,489,489,489,489,489,489,489,489,489,489
2011,AAAI Press,975,975,975,975,975,975,975,975,975,975,975,975,975,975,975,975,975,975,975,975,975
2011,ACM,12053,12053,12053,12053,12053,12053,12053,12053,12053,12053,12053,12053,12053,12053,12053,12053,12053,12053,12053,12053,12053
2011,CEUR-WS.org,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118
2011,IEEE,1507,1507,1507,1507,1507,1507,1507,1507,1507,1507,1507,1507,1507,1507,1507,1507,1507,1507,1507,1507,1507
2011,IEEE Computer Society,5382,5382,5382,5382,5382,5382,5382,5382,5382,5382,5382,5382,5382,5382,5382,5382,5382,5382,5382,5382,5382
2011,IJCAI/AAAI,1364,1364,1364,1364,1364,1364,1364,1364,1364,1364,1364,1364,1364,1364,1364,1364,1364,1364,1364,1364,1364
2011,Omnipress,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450
2011,SIAM,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353
2011,Schloss Dagstuhl - Leibniz-Zentrum fuer Informatik,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281
2011,Springer,3099,3099,3099,3099,3099,3099,3099,3099,3099,3099,3099,3099,3099,3099,3099,3099,3099,3099,3099,3099,3099
2011,The Association for Computer Linguistics,928,928,928,928,928,928,928,928,928,928,928,928,928,928,928,928,928,928,928,928,928
2011,USENIX Association,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188
2011,\N,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88
2012,AAAI Press,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070
2012,ACM,11969,11969,11969,11969,11969,11969,11969,11969,11969,11969,11969,11969,11969,11969,11969,11969,11969,11969,11969,11969,11969
2012,CEUR-WS.org,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137
2012,EasyChair,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137
2012,IEEE,2183,2183,2183,2183,2183,2183,2183,2183,2183,2183,2183,2183,2183,2183,2183,2183,2183,2183,2183,2183,2183
2012,IEEE Computer Society,5532,5532,5532,5532,5532,5532,5532,5532,5532,5532,5532,5532,5532,5532,5532,5532,5532,5532,5532,5532,5532
2012,IEEE/ACM,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126
2012,JMLR.org,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
2012,SIAM,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382
2012,Schloss Dagstuhl - Leibniz-Zentrum fuer Informatik,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265
2012,Springer,3206,3206,3206,3206,3206,3206,3206,3206,3206,3206,3206,3206,3206,3206,3206,3206,3206,3206,3206,3206,3206
2012,The Association for Computer Linguistics,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680
2012,USENIX Association,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416
2012,\N,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
2012,icml.cc / Omnipress,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703
2013,AAAI,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310
2013,AAAI Press,759,759,759,759,759,759,759,759,759,759,759,759,759,759,759,759,759,759,759,759,759
2013,ACM,12566,12566,12566,12566,12566,12566,12566,12566,12566,12566,12566,12566,12566,12566,12566,12566,12566,12566,12566,12566,12566
2013,CEUR-WS.org,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,152
2013,CWI/ACM,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64
2013,EasyChair,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127
2013,IEEE,2367,2367,2367,2367,2367,2367,2367,2367,2367,2367,2367,2367,2367,2367,2367,2367,2367,2367,2367,2367,2367
2013,IEEE Computer Society,7884,7884,7884,7884,7884,7884,7884,7884,7884,7884,7884,7884,7884,7884,7884,7884,7884,7884,7884,7884,7884
2013,IJCAI/AAAI,1510,1510,1510,1510,1510,1510,1510,1510,1510,1510,1510,1510,1510,1510,1510,1510,1510,1510,1510,1510,1510
2013,International World Wide Web Conferences Steering Committee / ACM,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488,1488
2013,JMLR.org,1006,1006,1006,1006,1006,1006,1006,1006,1006,1006,1006,1006,1006,1006,1006,1006,1006,1006,1006,1006,1006
2013,SIAM,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367
2013,Schloss Dagstuhl - Leibniz-Zentrum fuer Informatik,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285
2013,Springer,2976,2976,2976,2976,2976,2976,2976,2976,2976,2976,2976,2976,2976,2976,2976,2976,2976,2976,2976,2976,2976
2013,The Association for Computer Linguistics,1265,1265,1265,1265,1265,1265,1265,1265,1265,1265,1265,1265,1265,1265,1265,1265,1265,1265,1265,1265,1265
2013,USENIX Association,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184
2013,\N,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47
2014,AAAI,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121
2014,AAAI Press,1653,1653,1653,1653,1653,1653,1653,1653,1653,1653,1653,1653,1653,1653,1653,1653,1653,1653,1653,1653,1653
2014,ACM,15381,15381,15381,15381,15381,15381,15381,15381,15381,15381,15381,15381,15381,15381,15381,15381,15381,15381,15381,15381,15348
2014,CEUR-WS.org,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440
2014,CWI/ACM,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43
2014,EasyChair,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
2014,IEEE,1919,1919,1919,1919,1919,1919,1919,1919,1919,1919,1919,1919,1919,1919,1919,1919,1919,1919,1919,1919,1919
2014,IEEE Computer Society,4238,4238,4238,4238,4238,4238,4238,4238,4238,4238,4238,4238,4238,4238,4238,4238,4238,4238,4238,4238,4238
2014,JMLR.org,1173,1173,1173,1173,1173,1173,1173,1173,1173,1173,1173,1173,1173,1173,1173,1173,1173,1173,1173,1173,1173
2014,OpenProceedings.org,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369
2014,SIAM,383,383,383,383,383,383,383,383,383,383,383,383,383,383,383,383,383,383,383,383,383
2014,Schloss Dagstuhl - Leibniz-Zentrum fuer Informatik,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299
2014,Springer,3691,3691,3691,3691,3691,3691,3691,3691,3691,3691,3691,3691,3691,3691,3691,3691,3691,3691,3691,3691,3691
2014,The Association for Computer Linguistics,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104
2014,USENIX Association,515,515,515,515,515,515,515,515,515,515,515,515,515,515,515,515,515,515,515,515,515
